M, A, D, T, LA, HA, LB, HB, LG, MG, NULL, PS
63, 77, 61920, 9523, 2281, 2061, 2563, 1828, 830, 801, , 0
63, 77, 641617, 196333, 283660, 100475, 69101, 133978, 121312, 61408, , 25
63, 77, 70, 6, 1, 7, 4, 6, 0, 1, , 25
63, 77, 810047, 58814, 9489, 3498, 7922, 2680, 3393, 925, , 25
63, 77, 22955, 24873, 13963, 7995, 2714, 648, 337, 27, , 25
63, 77, 672137, 16932, 5865, 6541, 357, 850, 98, 145, , 25
63, 77, 1, 1, 2, 1, 0, 0, 1, 0, , 25
63, 77, 8, 1, 1, 0, 1, 0, 1, 0, , 25
63, 77, 20, 2, 0, 3, 0, 1, 1, 0, , 25
63, 77, 397, 87, 24, 32, 24, 8, 9, 13, , 25
41, 51, 72314, 33466, 2012, 1772, 685, 294, 151, 354, , 0
29, 23, 118988, 141794, 3504, 10289, 2610, 3083, 1677, 979, , 0
24, 41, 48494, 50521, 2330, 2593, 2497, 8938, 1639, 1964, , 0
23, 40, 332102, 31966, 10223, 1510, 4241, 5328, 1546, 421, , 0
35, 67, 298721, 128458, 55883, 7111, 19492, 20293, 5003, 2363, , 0
51, 78, 247079, 110045, 18637, 43486, 13699, 10010, 6327, 4627, , 0
57, 60, 127774, 184378, 26016, 7207, 12954, 6637, 2389, 2511, , 0
51, 54, 349364, 63618, 4576, 3649, 7453, 5409, 3168, 2462, , 0
50, 66, 32061, 17674, 9760, 4706, 17567, 10930, 4462, 7695, , 0
48, 75, 826911, 37886, 13643, 8154, 8401, 7339, 19140, 15777, , 0
47, 88, 77380, 156495, 14791, 17873, 30613, 17310, 5578, 6964, , 0
60, 81, 122903, 67003, 15223, 24920, 4652, 4546, 4486, 9333, , 0
57, 66, 33167, 119825, 15705, 20458, 6459, 13994, 7760, 4698, , 0
50, 54, 821362, 100926, 2482, 13581, 846, 4617, 2286, 3303, , 0
60, 44, 335927, 51168, 22880, 5626, 5527, 3071, 2229, 588, , 0
60, 44, 201312, 17555, 3004, 7967, 2204, 3856, 1070, 1236, , 26
66, 63, 303455, 15740, 3808, 26572, 4230, 9275, 3430, 918, , 0
77, 63, 548189, 101786, 43893, 61003, 12169, 18697, 6183, 5436, , 0
87, 63, 671500, 175349, 44073, 64837, 23384, 11834, 21471, 25636, , 0
81, 67, 2763274, 211125, 14391, 42502, 12360, 14676, 11290, 3261, , 0
78, 43, 1246969, 142430, 96607, 30793, 15051, 6983, 6508, 7689, , 0
61, 50, 1412161, 64666, 6172, 7688, 28459, 13633, 6845, 7698, , 0
64, 50, 250385, 30275, 19023, 8245, 2130, 2475, 2445, 2061, , 0
51, 50, 33801, 16193, 115, 800, 810, 873, 1001, 410, , 0
50, 74, 830381, 50979, 4823, 43173, 5146, 24136, 8007, 5335, , 0
57, 48, 1758675, 409527, 95323, 37071, 28310, 8682, 6395, 14308, , 0
56, 50, 467771, 7071, 2192, 4263, 2372, 724, 1083, 1079, , 0
63, 47, 659405, 142804, 9192, 7140, 5534, 5492, 10417, 3632, , 0
57, 41, 820767, 37376, 4846, 19267, 14320, 8404, 10420, 4672, , 0
69, 61, 508404, 189155, 185551, 104443, 34039, 51766, 97926, 19063, , 0
67, 67, 427619, 34379, 11509, 15297, 7450, 5403, 6905, 2912, , 0
81, 80, 293372, 34397, 17715, 4753, 7154, 5670, 3240, 2128, , 0
87, 69, 685596, 26264, 15124, 12622, 16018, 3147, 10732, 3138, , 0
91, 64, 3500910, 270522, 376972, 179007, 24882, 54199, 39944, 39744, , 0
94, 67, 620157, 17087, 14586, 9049, 3120, 4428, 4405, 1499, , 0
83, 57, 2336840, 512056, 47606, 33002, 21599, 28426, 21730, 21995, , 0
75, 60, 211931, 96951, 26229, 1187, 4601, 8615, 10181, 13193, , 0
54, 64, 615481, 21880, 747, 3985, 2475, 2612, 3214, 893, , 0
51, 54, 176793, 16654, 10431, 990, 1744, 1250, 2599, 1289, , 0
69, 67, 890861, 23997, 28433, 11488, 6575, 9499, 4214, 3989, , 0
67, 74, 852992, 320500, 52030, 43767, 36951, 43460, 30748, 18932, , 0
87, 67, 2011678, 108807, 94704, 77294, 16912, 18874, 19903, 5015, , 0
81, 81, 303498, 191975, 79374, 25558, 14068, 46827, 25571, 8557, , 0
69, 63, 2009913, 305422, 5319, 83044, 25581, 11683, 5006, 1001, , 0
77, 43, 631924, 48169, 23192, 5092, 2330, 1400, 1612, 1482, , 0
