M, A, D, T, LA, HA, LB, HB, LG, MG, NULL, PS
44, 51, 14541, 8198, 6260, 3917, 9826, 10350, 9094, 8489, , 0
43, 69, 93759, 20032, 2259, 8529, 7666, 15562, 6907, 4945, , 0
54, 93, 9031, 7424, 4299, 10876, 4583, 12587, 18825, 8291, , 0
50, 100, 12622, 3736, 3860, 9675, 5902, 11502, 11092, 12021, , 0
53, 93, 295052, 41620, 25483, 12008, 13190, 10170, 6327, 6109, , 0
60, 96, 44228, 2471, 6391, 3540, 8351, 9610, 10754, 7117, , 0
63, 83, 831733, 78469, 44340, 55470, 15767, 19414, 15713, 14810, , 0
57, 69, 226317, 21534, 8459, 2217, 2853, 4511, 7146, 3521, , 0
50, 60, 540518, 137682, 8578, 22406, 5395, 6881, 7115, 4236, , 0
47, 40, 152331, 162559, 45353, 24067, 22175, 17920, 21347, 32778, , 0
37, 43, 1335370, 135077, 49843, 35229, 101117, 31858, 44293, 35443, , 0
17, 43, 2341818, 818515, 11728, 41488, 140579, 117521, 97710, 47734, , 0
21, 37, 383961, 21214, 6045, 1528, 1293, 523, 611, 514, , 0
17, 44, 424452, 47243, 4318, 10797, 5789, 12798, 25170, 6335, , 0
20, 53, 14988, 16532, 4418, 9145, 8929, 13794, 11689, 8534, , 0
27, 51, 460484, 122670, 11559, 5543, 6394, 15616, 17825, 12981, , 0
24, 70, 41866, 35507, 2627, 9696, 11224, 8347, 33077, 15863, , 0
16, 60, 61019, 79193, 5483, 1626, 7179, 4056, 1211, 1846, , 0
14, 47, 114687, 206867, 48024, 25683, 27339, 25079, 8476, 13543, , 0
23, 54, 51065, 21848, 2771, 13539, 11734, 13216, 3755, 20794, , 0
26, 56, 75954, 64394, 15666, 18920, 25718, 20619, 21533, 2682, , 0
37, 53, 171515, 59516, 12058, 5377, 4643, 2390, 2952, 1482, , 0
37, 50, 554513, 158488, 29920, 14283, 4942, 14081, 8416, 13106, , 0
27, 44, 96201, 97578, 4729, 12481, 7454, 20692, 8861, 11476, , 0
27, 34, 859418, 151836, 42708, 17951, 6783, 11820, 6665, 11906, , 0
29, 57, 35628, 15186, 11173, 2783, 11408, 18421, 8317, 9891, , 0
26, 67, 63763, 65968, 7377, 6916, 9012, 14841, 11110, 9492, , 0
37, 83, 191866, 26393, 33363, 98453, 156868, 155907, 18974, 17016, , 0
38, 100, 62009, 9544, 10305, 6755, 8904, 19741, 9868, 13111, , 0
34, 78, 710778, 356726, 22396, 39287, 9275, 9377, 7741, 4589, , 0
38, 77, 348083, 33684, 6271, 4286, 2712, 6964, 2085, 1164, , 0
40, 56, 1395464, 259229, 198573, 16855, 78433, 53450, 29628, 8184, , 0
40, 37, 109398, 73331, 21864, 10266, 6609, 6745, 5825, 4632, , 0
50, 47, 803960, 61043, 35651, 15496, 7747, 8750, 9788, 2818, , 0
64, 40, 180930, 2476, 6518, 1048, 2108, 646, 729, 933, , 0
57, 26, 638744, 149487, 19714, 28272, 4109, 5408, 10185, 6146, , 0
63, 40, 2746538, 25162, 10956, 60985, 46283, 28394, 32981, 22521, , 0
44, 47, 1855465, 214331, 6615, 12174, 19608, 47520, 22548, 11850, , 0
27, 70, 17388, 8319, 5559, 4907, 13639, 26267, 33262, 12057, , 0
24, 93, 394975, 24412, 4971, 2261, 6179, 11111, 14665, 2619, , 0
13, 83, 1150340, 141946, 18563, 14054, 8180, 15180, 16000, 6563, , 0
17, 69, 483764, 212071, 16009, 13811, 35113, 10902, 32260, 15590, , 0
26, 56, 801918, 32426, 21324, 12053, 5870, 16006, 5727, 28171, , 0
37, 54, 95589, 37724, 25776, 20288, 20250, 22797, 15724, 18280, , 0
38, 60, 695144, 26607, 7192, 1529, 6756, 5908, 6531, 3636, , 0
47, 66, 353508, 162659, 46707, 11365, 17731, 20963, 28987, 7598, , 0
38, 57, 2018559, 103051, 3914, 29601, 17837, 13339, 7583, 2983, , 0
40, 51, 336887, 40887, 18074, 27076, 12596, 10244, 8635, 5121, , 0
47, 61, 48868, 11322, 4664, 19022, 21026, 18218, 11969, 7014, , 0
50, 66, 252401, 27553, 12942, 3595, 3089, 7051, 1936, 2439, , 0
48, 80, 28038, 45059, 17442, 5936, 24974, 33332, 13946, 15000, , 0
44, 78, 1643753, 525173, 130808, 154164, 38471, 77393, 23867, 38696, , 0
50, 69, 233370, 24441, 13678, 21259, 9708, 10502, 21476, 11291, , 0
48, 77, 46193, 56805, 9895, 24130, 9920, 32725, 22467, 13235, , 0
48, 61, 195462, 43854, 4602, 8468, 5871, 5037, 3511, 2140, , 0
48, 61, 1405048, 212054, 109424, 6145, 36316, 29750, 19376, 4801, , 0
40, 66, 162304, 34580, 5289, 21778, 25098, 19661, 15688, 10604, , 0
41, 74, 6587, 8180, 8624, 19094, 27871, 31636, 19150, 10008, , 0
53, 88, 11901, 9559, 17362, 17402, 6179, 19566, 24360, 17639, , 0
48, 84, 2006852, 432829, 20953, 87894, 45779, 43646, 19895, 17602, , 0
51, 83, 567568, 44496, 23190, 21208, 14711, 18070, 9948, 9837, , 0
41, 64, 302696, 196504, 14797, 18755, 33480, 30544, 17796, 13777, , 0
34, 51, 676293, 16380, 2202, 6877, 9760, 2406, 2509, 1111, , 0
43, 51, 1457616, 16074, 5579, 13778, 7030, 2682, 3816, 1038, , 0
41, 41, 307099, 44248, 10984, 11356, 7730, 3981, 7693, 1775, , 0
47, 29, 553917, 165562, 31046, 13428, 6020, 7321, 14206, 3001, , 0
37, 21, 368815, 106429, 7959, 4311, 9334, 4005, 26319, 7875, , 0
30, 30, 141294, 45116, 23871, 12141, 5960, 18850, 17027, 17892, , 0
24, 24, 647520, 54239, 5542, 4160, 3401, 1583, 4889, 1132, , 0
34, 30, 1550550, 43037, 28497, 13998, 10832, 6678, 6693, 3682, , 0
50, 37, 1556614, 80859, 45400, 27006, 8357, 10441, 8089, 6528, , 0
56, 23, 2357380, 70317, 70877, 11329, 9279, 7131, 12293, 3104, , 0
63, 27, 440782, 80264, 23175, 12986, 4878, 5140, 6584, 10955, , 0
54, 14, 1138409, 703996, 103217, 66483, 23950, 14862, 26397, 13244, , 0
53, 23, 419639, 33563, 17050, 16761, 13454, 13245, 13371, 12286, , 0
40, 17, 930251, 436227, 50658, 55243, 7310, 16265, 19762, 15456, , 0
40, 27, 214515, 99039, 52139, 17720, 43436, 23519, 14770, 28065, , 0
47, 43, 100604, 140017, 65857, 26535, 20736, 24305, 25518, 22645, , 0
37, 41, 823777, 91830, 14331, 2999, 3998, 14730, 9831, 3128, , 0
41, 47, 1683073, 75436, 16171, 28471, 24339, 6245, 5195, 3115, , 0
37, 44, 611733, 44066, 6439, 6154, 3440, 6098, 9100, 3356, , 0
40, 47, 256745, 50557, 33443, 47714, 32036, 20438, 9834, 22180, , 0
44, 51, 1174098, 71713, 17008, 8315, 9495, 18969, 10976, 6039, , 0
43, 60, 221280, 39340, 11910, 9539, 11163, 8550, 4541, 3254, , 0
43, 53, 1134975, 24851, 5423, 1529, 2324, 1734, 745, 379, , 0
43, 66, 63715, 2170, 5687, 2565, 2870, 6936, 2480, 4389, , 0
47, 81, 28623, 11232, 9747, 13348, 8034, 37845, 19893, 11913, , 0
44, 94, 38413, 17834, 6297, 7837, 8812, 24509, 24952, 12000, , 0
44, 100, 10943, 19312, 6534, 4317, 8814, 18031, 10995, 12854, , 0
40, 100, 133432, 51053, 37282, 10882, 16261, 32777, 18447, 28788, , 0
38, 91, 116420, 17352, 4995, 2806, 4884, 3272, 960, 981, , 0
48, 87, 964264, 17352, 38396, 9353, 9804, 24705, 13951, 10358, , 0
