M, A, D, T, LA, HA, LB, HB, LG, MG
30.0, 54.0, 189831.0, 57635.0, 18129.0, 7388.0, 6719.0, 3709.0, 5280.0, 2721.0
43.0, 51.0, 10781.0, 11284.0, 1929.0, 1353.0, 3284.0, 10529.0, 3530.0, 2887.0
56.0, 37.0, 190078.0, 31634.0, 28632.0, 28637.0, 6502.0, 3703.0, 1362.0, 1013.0
63.0, 43.0, 128127.0, 82332.0, 11246.0, 18118.0, 5229.0, 9334.0, 4599.0, 9977.0
63.0, 48.0, 36125.0, 56698.0, 19063.0, 4265.0, 9501.0, 7433.0, 7125.0, 8421.0
77.0, 41.0, 413191.0, 26340.0, 12722.0, 3147.0, 6508.0, 10808.0, 8660.0, 7388.0
60.0, 57.0, 356068.0, 14207.0, 1216.0, 8122.0, 5672.0, 9999.0, 5600.0, 10201.0
67.0, 64.0, 39766.0, 10714.0, 3938.0, 10462.0, 4638.0, 6933.0, 4079.0, 15896.0
70.0, 80.0, 21669.0, 9449.0, 2748.0, 9644.0, 4947.0, 16301.0, 8718.0, 4020.0
74.0, 83.0, 7345.0, 13637.0, 7686.0, 3636.0, 3148.0, 9735.0, 3372.0, 10696.0
83.0, 70.0, 115258.0, 46487.0, 34181.0, 23024.0, 25010.0, 8098.0, 2976.0, 7298.0
77.0, 77.0, 64856.0, 15719.0, 11860.0, 2840.0, 5255.0, 18338.0, 3750.0, 7050.0
83.0, 60.0, 250030.0, 51414.0, 39577.0, 16496.0, 12109.0, 7949.0, 5736.0, 10220.0
84.0, 57.0, 71919.0, 39503.0, 33644.0, 6565.0, 11189.0, 23165.0, 7550.0, 8128.0
90.0, 50.0, 105729.0, 119155.0, 132322.0, 15152.0, 8467.0, 7027.0, 4421.0, 5064.0
96.0, 41.0, 5189.0, 8397.0, 11731.0, 2411.0, 9104.0, 3859.0, 2315.0, 2408.0
90.0, 56.0, 368508.0, 9518.0, 15629.0, 4697.0, 6943.0, 22207.0, 5026.0, 14218.0
93.0, 57.0, 6290.0, 15287.0, 8948.0, 7577.0, 2771.0, 10343.0, 6159.0, 7384.0
88.0, 80.0, 12053.0, 6361.0, 14913.0, 8357.0, 6850.0, 18251.0, 5395.0, 6580.0
83.0, 80.0, 11255.0, 29807.0, 4036.0, 13852.0, 3408.0, 8584.0, 7442.0, 3422.0
83.0, 67.0, 538727.0, 40443.0, 19016.0, 14559.0, 17787.0, 10082.0, 6435.0, 2556.0
75.0, 74.0, 5631.0, 11511.0, 8578.0, 3354.0, 4855.0, 14616.0, 7890.0, 6151.0
69.0, 69.0, 116114.0, 16840.0, 9265.0, 5661.0, 5216.0, 9559.0, 4405.0, 8338.0
74.0, 70.0, 12520.0, 20022.0, 9345.0, 11635.0, 11139.0, 13033.0, 4057.0, 8987.0
74.0, 77.0, 24520.0, 19685.0, 18746.0, 2519.0, 9170.0, 8324.0, 7183.0, 4072.0
74.0, 78.0, 22200.0, 5955.0, 370.0, 5412.0, 2625.0, 9707.0, 6355.0, 4491.0
88.0, 69.0, 115648.0, 23997.0, 64974.0, 31256.0, 25179.0, 11496.0, 5191.0, 4278.0
100.0, 64.0, 727441.0, 18013.0, 30915.0, 34864.0, 16407.0, 13278.0, 11536.0, 7231.0
88.0, 75.0, 13967.0, 16645.0, 5071.0, 3992.0, 7949.0, 25113.0, 5360.0, 6263.0
96.0, 67.0, 41958.0, 18106.0, 15193.0, 8670.0, 2040.0, 13208.0, 3905.0, 4598.0
63.0, 69.0, 91547.0, 70872.0, 5512.0, 6475.0, 26715.0, 11257.0, 9760.0, 11842.0
47.0, 69.0, 428882.0, 62439.0, 21546.0, 11126.0, 5501.0, 14331.0, 5042.0, 15084.0
56.0, 67.0, 9072.0, 13535.0, 10712.0, 13500.0, 12166.0, 29538.0, 6472.0, 4399.0
53.0, 61.0, 127479.0, 26693.0, 12571.0, 3901.0, 6592.0, 4851.0, 2186.0, 794.0
67.0, 78.0, 4993.0, 3587.0, 2514.0, 5138.0, 1114.0, 14719.0, 5324.0, 5074.0
51.0, 94.0, 3767.0, 12029.0, 2640.0, 1854.0, 11126.0, 26782.0, 4353.0, 7660.0
40.0, 97.0, 1425.0, 11005.0, 2646.0, 3853.0, 6027.0, 22012.0, 6606.0, 5855.0
38.0, 100.0, 4469.0, 13823.0, 3958.0, 8753.0, 8222.0, 10370.0, 2706.0, 6088.0
30.0, 90.0, 87630.0, 113387.0, 33177.0, 3517.0, 16247.0, 17522.0, 5626.0, 5132.0
38.0, 78.0, 12392.0, 16799.0, 1302.0, 3298.0, 8105.0, 6580.0, 8447.0, 4858.0
35.0, 78.0, 2731.0, 4228.0, 1813.0, 877.0, 7388.0, 8271.0, 7497.0, 7880.0
34.0, 70.0, 131844.0, 37460.0, 11187.0, 7096.0, 8167.0, 8945.0, 4950.0, 4253.0
26.0, 81.0, 34175.0, 37161.0, 6753.0, 6544.0, 21779.0, 25548.0, 9076.0, 10391.0
41.0, 75.0, 1574223.0, 60845.0, 24749.0, 15916.0, 15988.0, 11033.0, 11839.0, 5599.0
48.0, 70.0, 12377.0, 13198.0, 1624.0, 6320.0, 2494.0, 18512.0, 15708.0, 4251.0
56.0, 83.0, 18765.0, 3258.0, 10393.0, 4311.0, 4372.0, 15166.0, 2265.0, 7389.0
64.0, 80.0, 7093.0, 9404.0, 3419.0, 2051.0, 3182.0, 4852.0, 1939.0, 9572.0
54.0, 84.0, 140974.0, 78039.0, 17102.0, 6482.0, 12522.0, 21586.0, 6878.0, 8774.0
50.0, 81.0, 538257.0, 21900.0, 3546.0, 3072.0, 5552.0, 15261.0, 5287.0, 5731.0
47.0, 69.0, 12880.0, 39014.0, 5179.0, 23425.0, 6578.0, 9340.0, 5994.0, 6623.0
48.0, 67.0, 10364.0, 23512.0, 5592.0, 7565.0, 4297.0, 10491.0, 3060.0, 5321.0
61.0, 66.0, 67201.0, 44603.0, 19813.0, 26339.0, 7753.0, 14323.0, 5300.0, 3996.0
75.0, 60.0, 7128.0, 30397.0, 9701.0, 12594.0, 7740.0, 10374.0, 4716.0, 7096.0
83.0, 60.0, 230362.0, 33776.0, 38399.0, 12660.0, 6438.0, 14159.0, 7139.0, 4491.0
84.0, 63.0, 80846.0, 13912.0, 10895.0, 4937.0, 11794.0, 14605.0, 3700.0, 6289.0
77.0, 66.0, 8523.0, 19563.0, 8612.0, 2975.0, 6292.0, 8498.0, 6733.0, 2665.0
78.0, 70.0, 2032.0, 9119.0, 2646.0, 7961.0, 2885.0, 8548.0, 4695.0, 12361.0
64.0, 67.0, 251800.0, 163852.0, 39089.0, 20262.0, 20233.0, 19851.0, 2429.0, 3669.0
56.0, 69.0, 17626.0, 7638.0, 738.0, 3918.0, 5308.0, 10084.0, 4394.0, 2371.0
53.0, 60.0, 231226.0, 15465.0, 1735.0, 3120.0, 2932.0, 963.0, 348.0, 368.0
44.0, 63.0, 5385.0, 5868.0, 4181.0, 964.0, 2407.0, 10200.0, 3917.0, 7647.0
38.0, 60.0, 177966.0, 15949.0, 2364.0, 853.0, 3310.0, 845.0, 1045.0, 1119.0
47.0, 43.0, 412775.0, 57577.0, 23080.0, 6611.0, 8507.0, 6641.0, 6936.0, 3129.0
47.0, 40.0, 569890.0, 283447.0, 51655.0, 25248.0, 36117.0, 9894.0, 5855.0, 4920.0
47.0, 26.0, 456239.0, 13992.0, 2501.0, 2974.0, 1632.0, 3025.0, 1281.0, 784.0
43.0, 40.0, 1305.0, 12237.0, 1002.0, 2184.0, 5940.0, 5090.0, 4213.0, 4032.0
47.0, 44.0, 473625.0, 38691.0, 12946.0, 12572.0, 3321.0, 10166.0, 7397.0, 4213.0
51.0, 60.0, 19806.0, 19663.0, 2524.0, 9451.0, 3219.0, 9429.0, 3665.0, 7556.0
56.0, 74.0, 10207.0, 3570.0, 2813.0, 3838.0, 1410.0, 8388.0, 6460.0, 3978.0
57.0, 80.0, 13841.0, 20239.0, 4313.0, 1928.0, 3405.0, 18875.0, 5270.0, 3435.0
53.0, 84.0, 8830.0, 8265.0, 3799.0, 1270.0, 1550.0, 4989.0, 3381.0, 2634.0
54.0, 87.0, 4336.0, 18208.0, 7866.0, 7314.0, 4474.0, 12218.0, 8111.0, 2118.0
51.0, 80.0, 2887.0, 13780.0, 8885.0, 3345.0, 11196.0, 9133.0, 3071.0, 4892.0
63.0, 66.0, 273965.0, 126687.0, 42557.0, 22365.0, 20421.0, 21049.0, 6693.0, 6721.0
53.0, 48.0, 1715192.0, 163288.0, 20850.0, 5343.0, 5814.0, 4741.0, 1289.0, 1740.0
56.0, 40.0, 29646.0, 86442.0, 45392.0, 15148.0, 2465.0, 13315.0, 6431.0, 12564.0
53.0, 27.0, 367371.0, 137177.0, 23040.0, 14247.0, 29931.0, 11251.0, 8942.0, 5755.0
56.0, 38.0, 16130.0, 6339.0, 8125.0, 4849.0, 6021.0, 10858.0, 4555.0, 9689.0
67.0, 57.0, 1468.0, 10243.0, 2578.0, 4137.0, 1960.0, 7913.0, 2389.0, 2557.0
69.0, 64.0, 16945.0, 20018.0, 14409.0, 14434.0, 10724.0, 10730.0, 5429.0, 8601.0
